run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,G_xy,E_eff,nu_eff,G_eff
STEEP_z35_s2,0.50,0.033,Composite,9.4686e+09,0.33,0.0495,0.036,0.0172,0.0323,2.2e9,0.77,Gmsh,Lesicar,Z,No,0,8192758899.442791,0.33203081452009714,0.02044161887111784,0.12244479764111027,0.06956100442502589,0.09000262329614372,3069222495.216698,8192758899.442791,0.33203081452009714,3069222495.216698
STEEP_z35_s3,0.50,0.033,Composite,9.4686e+09,0.33,0.0495,0.036,0.0172,0.0323,2.2e9,0.77,Gmsh,Lesicar,Z,No,0,8325512284.519141,0.3319521293542663,0.0172963412104572,0.12283795734869285,0.06512124855632351,0.08241758976678071,3119283288.6080904,8325512284.519141,0.3319521293542663,3119283288.6080904
STEEP_z45_s1,0.50,0.033,Composite,9.4517e+09,0.33,0.0582,0.037,0.0164,0.0418,2.2e9,0.74,Gmsh,Lesicar,Z,No,0,8066604635.028517,0.33284148184328083,0.01572131545728439,0.12303483556783945,0.08532509680830458,0.10104641226558897,3023084257.76114,8066604635.028517,0.33284148184328083,3023084257.76114
STEEP_z45_s2,0.50,0.033,Composite,9.4517e+09,0.33,0.0582,0.037,0.0164,0.0418,2.2e9,0.74,Gmsh,Lesicar,Z,No,0,7954193698.693842,0.33315877947103867,0.01590754944185946,0.12301155631976757,0.09317613870045349,0.10908368814231295,2986845743.9058495,7954193698.693842,0.33315877947103867,2986845743.9058495
STEEP_z45_s3,0.50,0.033,Composite,9.4517e+09,0.33,0.0582,0.037,0.0164,0.0418,2.2e9,0.74,Gmsh,Lesicar,Z,No,0,7958714837.21827,0.33289188894389565,0.01964962972290607,0.12254379628463674,0.0872760084735944,0.10692563819650047,2986073989.3173084,7958714837.21827,0.33289188894389565,2986073989.3173084
STEEP_z55_s1,0.50,0.033,Composite,9.4348e+09,0.33,0.0482,0.039,0.0156,0.0326,2.2e9,0.72,Gmsh,Lesicar,Z,Yes,0.0218,7670894789.435382,0.3329070961821275,0.019411202010550355,0.1225735997486812,0.10170348926710737,0.12111469127765773,2857896143.0006766,7670894789.435382,0.3329070961821275,2857896143.0006766
STEEP_z55_s2,0.50,0.033,Composite,9.4348e+09,0.33,0.0482,0.039,0.0156,0.0326,2.2e9,0.72,Gmsh,Lesicar,Z,Yes,0.0218,7611623174.507323,0.3327378421330651,0.016309793273180162,0.12296127584085248,0.1044791977115267,0.12078899098470686,2861662328.345543,7611623174.507323,0.3327378421330651,2861662328.345543
STEEP_z55_s3,0.50,0.033,Composite,9.4348e+09,0.33,0.0482,0.039,0.0156,0.0326,2.2e9,0.72,Gmsh,Lesicar,Z,Yes,0.0218,7674308869.83699,0.33315100179953816,0.026303647339915415,0.12171204408251057,0.08999209129464703,0.11629573863456244,2897741114.345235,7674308869.83699,0.33315100179953816,2897741114.345235
STEEP_z65_s1,0.50,0.033,Composite,9.4179e+09,0.33,0.0579,0.040,0.0148,0.0431,2.2e9,0.69,Gmsh,Lesicar,Z,Yes,0.0287,7124241739.754734,0.33376677315614695,0.01528952117830329,0.12308880985271209,0.14095819474111693,0.15624771591942022,2642747340.77948,7124241739.754734,0.33376677315614695,2642747340.77948
STEEP_z65_s2,0.50,0.033,Composite,9.4179e+09,0.33,0.0579,0.040,0.0148,0.0431,2.2e9,0.69,Gmsh,Lesicar,Z,Yes,0.0287,7309099653.17111,0.3339147858981727,0.015992784720054942,0.12300090190999313,0.132727136566956,0.14871992128701095,2699555511.178949,7309099653.17111,0.3339147858981727,2699555511.178949
